identifier,latitude,longitude,feature,taille
0500-01=,-2.38,147.35,FEATURE_VOLCANO,2.431363764
0500-02-,-2.57,147.28,FEATURE_VOLCANO,2.404833717
0302-06-,33.95,67.92,FEATURE_VOLCANO,3.579783597
0302-07-,34.25,67.97,FEATURE_VOLCANO,3.503790683
0203-04-,-1.506,29.45,FEATURE_VOLCANO,3.652246341
0203-01=,-0.93,29.33,FEATURE_VOLCANO,2.977723605
0203-02=,-1.408,29.2,FEATURE_VOLCANO,3.485437481
0203-03=,-1.52,29.25,FEATURE_VOLCANO,3.540329475
0203-08-,-2.32,28.75,FEATURE_VOLCANO,3.164352856
0203-05-,-1.458,29.485,FEATURE_VOLCANO,3.567731963
0203-07-,-1.304,29.683,FEATURE_VOLCANO,3.322219295
0203-004,-0.2,30.08,FEATURE_VOLCANO,3.191451014
0203-001,0.7,30.25,FEATURE_VOLCANO,3.208172527
0203-005,-0.471,30.191,FEATURE_VOLCANO,3.232233521
0203-003,-0.08,29.92,FEATURE_VOLCANO,3.028164419
0203-002,0.45,30.25,FEATURE_VOLCANO,3.155336037
0203-06-,-1.383,29.678,FEATURE_VOLCANO,3.613101517
0202-03=,2.32,36.57,FEATURE_VOLCANO,3.013679697
0202-01=,3.496,36.04,FEATURE_VOLCANO,2.71432976
0202-13=,-2.68,37.88,FEATURE_VOLCANO,3.340047318
0202-08=,-0.65,36.22,FEATURE_VOLCANO,3.455758203
0202-071,-0.52,36.27,FEATURE_VOLCANO,3.32756326
0202-051,1.5,36.33,FEATURE_VOLCANO,3.108903128
0202-07=,-0.38,34.5,FEATURE_VOLCANO,3.243286146
0202-054,0.77,36.12,FEATURE_VOLCANO,3.160168293
0202-10=,-0.914,36.446,FEATURE_VOLCANO,3.443419462
0202-021,2.32,37.97,FEATURE_VOLCANO,3.232233521
0201-33-,3.971,38.213,FEATURE_VOLCANO,3.176091259
0202-06=,-0.2,36.07,FEATURE_VOLCANO,3.35755372
0202-04-,1.98,36.43,FEATURE_VOLCANO,2.912222057
0202-001,4.059,36.049,FEATURE_VOLCANO,2.69019608
0202-056,0.23,37.87,FEATURE_VOLCANO,2.875061263
0202-055,0.62,36.075,FEATURE_VOLCANO,3.053078443
0202-09=,-0.904,36.292,FEATURE_VOLCANO,3.386320574
0202-053,0.92,36.18,FEATURE_VOLCANO,3.229681842
0202-05-,1.57,37.9,FEATURE_VOLCANO,2.844477176
0202-052,1.15,36.23,FEATURE_VOLCANO,3.184123354
0202-02=,2.63,36.6,FEATURE_VOLCANO,2.903089987
0202-11=,-1.151,36.357,FEATURE_VOLCANO,3.372175286
0202-161,-4.889,31.933,FEATURE_VOLCANO,3.059184618
0202-165,-8.93,33.4,FEATURE_VOLCANO,3.195346058
0202-15=,-3.07,37.35,FEATURE_VOLCANO,3.770483809
0202-17=,-9.229,33.792,FEATURE_VOLCANO,3.337658891
0202-12=,-2.764,35.914,FEATURE_VOLCANO,3.471585054
0202-16=,-3.25,36.75,FEATURE_VOLCANO,3.659440782
0202-164,-8.989,33.554,FEATURE_VOLCANO,3.417305583
0202-166,-9.135,33.668,FEATURE_VOLCANO,3.470263447
0202-163,-8.75,33.8,FEATURE_VOLCANO,3.33825723
0205-005,23.33,5.83,FEATURE_VOLCANO,3.465085288
0205-006,23.92,5.83,FEATURE_VOLCANO,3.223236273
0205-004,22.67,5,FEATURE_VOLCANO,3.166430114
0205-021,19.8,18.53,FEATURE_VOLCANO,3.533390708
0205-001,17.68,8.5,FEATURE_VOLCANO,3.250420002
0205-009,21.33,16.33,FEATURE_VOLCANO,3.301029996
0205-01=,21.03,16.45,FEATURE_VOLCANO,3.513883186
0205-02=,20.92,17.28,FEATURE_VOLCANO,3.491361694
0205-007,27.25,17.5,FEATURE_VOLCANO,3.079181246
0205-008,25.05,17.55,FEATURE_VOLCANO,2.737987326
0205-002,19.83,2.83,FEATURE_VOLCANO,2.84509804
0205-06-,18.33,32.75,FEATURE_VOLCANO,2.826074803
0205-04-,14.57,25.85,FEATURE_VOLCANO,3.250175948
0205-03-,12.95,24.27,FEATURE_VOLCANO,3.48315921
0205-05-,15.32,26.47,FEATURE_VOLCANO,3.301029996
0201-126,11.58,42.47,FEATURE_VOLCANO,2.474216264
0201-123,12.469,42.404,FEATURE_VOLCANO,3.299507299
