identifier,latitude,longitude,resource,taille
195,-42.42,146.53,RESOURCE_ALUMINUM,1.5
194,-38.56,145.92,RESOURCE_ALUMINUM,1.5
385,-35.59,173.76,RESOURCE_ALUMINUM,1.5
193,-34.54,150.37,RESOURCE_ALUMINUM,1.5
235,-33.15,-70.83,RESOURCE_ALUMINUM,1.69
166,-32.55,115.99,RESOURCE_ALUMINUM,3
167,-32.32,116.06,RESOURCE_ALUMINUM,2.707570176
189,-31.35,116.06,RESOURCE_ALUMINUM,1.69
447,-29.85,31.03,RESOURCE_ALUMINUM,1.69
192,-29.81,151.14,RESOURCE_ALUMINUM,1.5
190,-27.86,153.11,RESOURCE_ALUMINUM,1.5
220,-27.81,-50.32,RESOURCE_ALUMINUM,1.875061263
377,-24.28,47.32,RESOURCE_ALUMINUM,2.217483944
217,-21.86,-46.59,RESOURCE_ALUMINUM,1.5
212,-21.45,-42.88,RESOURCE_ALUMINUM,1.5
219,-21.11,-44.21,RESOURCE_ALUMINUM,1.69
218,-20.2,-43.48,RESOURCE_ALUMINUM,1.5
497,-18.97,32.67,RESOURCE_ALUMINUM,1.69
248,-17.84,177.95,RESOURCE_ALUMINUM,1.69
379,-15.96,35.63,RESOURCE_ALUMINUM,1.77815125
378,-15.36,48.68,RESOURCE_ALUMINUM,1.643452676
188,-15.22,125.99,RESOURCE_ALUMINUM,2.371067862
187,-14.04,126.13,RESOURCE_ALUMINUM,2.991226076
174,-12.53,141.84,RESOURCE_ALUMINUM,3.506505032
175,-12.26,136.84,RESOURCE_ALUMINUM,2.397940009
182,-11.98,135.7,RESOURCE_ALUMINUM,1.69
208,-11.69,-49.08,RESOURCE_ALUMINUM,2.472756449
446,-11.63,160.24,RESOURCE_ALUMINUM,1.69
181,-11.27,136.62,RESOURCE_ALUMINUM,1.602059991
184,-11.24,132.21,RESOURCE_ALUMINUM,1.698970004
183,-11.17,132.56,RESOURCE_ALUMINUM,1.5
191,-10.97,142.64,RESOURCE_ALUMINUM,1.5
207,-4.92,-47.51,RESOURCE_ALUMINUM,1.69
247,-4.41,15.31,RESOURCE_ALUMINUM,1.69
205,-3.81,-49.66,RESOURCE_ALUMINUM,1.69
211,-2.96,-51.86,RESOURCE_ALUMINUM,1.602059991
209,-1.68,-56.45,RESOURCE_ALUMINUM,3.149219113
210,-0.9,-52.38,RESOURCE_ALUMINUM,1.5
204,-0.75,-60.11,RESOURCE_ALUMINUM,1.69
332,0.15,110.8,RESOURCE_ALUMINUM,1.5
333,0.24,101.75,RESOURCE_ALUMINUM,1.5
468,0.43,33.22,RESOURCE_ALUMINUM,1.69
334,0.78,104.55,RESOURCE_ALUMINUM,1.5
198,1.36,104.22,RESOURCE_ALUMINUM,1.5
221,1.44,-52.02,RESOURCE_ALUMINUM,1.69
202,1.8,109.77,RESOURCE_ALUMINUM,1.5
242,2.23,-77.01,RESOURCE_ALUMINUM,1.968482949
158,3.53,56.55,RESOURCE_ALUMINUM,11.89435741
201,3.83,103.29,RESOURCE_ALUMINUM,1.84509804
451,4.35,-56.75,RESOURCE_ALUMINUM,2.602059991
450,4.86,-54.63,RESOURCE_ALUMINUM,1.5
254,4.92,-52.33,RESOURCE_ALUMINUM,1.69
157,5.14,-60.76,RESOURCE_ALUMINUM,12.46245753
230,5.44,10.06,RESOURCE_ALUMINUM,1.69
458,5.52,-54.33,RESOURCE_ALUMINUM,1.69
232,5.6,10.08,RESOURCE_ALUMINUM,1.602059991
456,5.65,-55.21,RESOURCE_ALUMINUM,1.69
346,5.84,-5.69,RESOURCE_ALUMINUM,1.69
455,6,-58.28,RESOURCE_ALUMINUM,2.719331287
260,6.16,-0.59,RESOURCE_ALUMINUM,2.376576957
257,6.25,-2.29,RESOURCE_ALUMINUM,1.949390007
261,6.57,-0.77,RESOURCE_ALUMINUM,1.5
460,6.89,0.76,RESOURCE_ALUMINUM,1.69
229,6.89,13.05,RESOURCE_ALUMINUM,3.301029996
387,6.91,11.13,RESOURCE_ALUMINUM,1.69
454,6.93,-58.42,RESOURCE_ALUMINUM,1.69
485,6.95,-67.55,RESOURCE_ALUMINUM,2.84509804
487,7.21,-61.36,RESOURCE_ALUMINUM,2.008600172
391,7.48,134.55,RESOURCE_ALUMINUM,1.69
348,8.03,-7.43,RESOURCE_ALUMINUM,1.69
489,8.05,-62.39,RESOURCE_ALUMINUM,1.5
444,8.05,-12.58,RESOURCE_ALUMINUM,2.017033339
347,8.13,-5.57,RESOURCE_ALUMINUM,1.69
392,8.58,-82.39,RESOURCE_ALUMINUM,1.69
445,8.77,-12.78,RESOURCE_ALUMINUM,1.69
234,9.36,14.91,RESOURCE_ALUMINUM,1.69
273,9.48,-13.75,RESOURCE_ALUMINUM,1.5
394,9.62,125.94,RESOURCE_ALUMINUM,1.69
390,9.83,8.91,RESOURCE_ALUMINUM,1.69
243,9.86,-83.99,RESOURCE_ALUMINUM,1.69
274,9.89,-13.11,RESOURCE_ALUMINUM,2.301029996
322,10.2,77.5,RESOURCE_ALUMINUM,1.5
488,10.31,-67.86,RESOURCE_ALUMINUM,1.69
225,10.33,-3.18,RESOURCE_ALUMINUM,1.69
269,10.4,-13.57,RESOURCE_ALUMINUM,2.812913357
268,10.73,-13.04,RESOURCE_ALUMINUM,2.929418926
328,10.97,76.21,RESOURCE_ALUMINUM,1.69
275,11.09,-13.77,RESOURCE_ALUMINUM,3.925312091
321,11.36,76.72,RESOURCE_ALUMINUM,1.5
271,11.49,-11.8,RESOURCE_ALUMINUM,3.602059991
272,11.69,-12.22,RESOURCE_ALUMINUM,3.301029996
319,11.7,78.12,RESOURCE_ALUMINUM,1.69
277,11.75,-14.22,RESOURCE_ALUMINUM,2.698970004
393,11.9,125.14,RESOURCE_ALUMINUM,1.69
493,11.94,108.49,RESOURCE_ALUMINUM,2.301029996
326,12.03,75.21,RESOURCE_ALUMINUM,1.5
223,12.23,0.73,RESOURCE_ALUMINUM,1.69
381,12.27,-11.35,RESOURCE_ALUMINUM,2.025305865
439,12.55,-12.18,RESOURCE_ALUMINUM,1.69
380,12.83,-8.88,RESOURCE_ALUMINUM,1.69
224,13.07,-0.32,RESOURCE_ALUMINUM,1.69
383,13.1,-4.45,RESOURCE_ALUMINUM,1.69
382,13.14,-7.66,RESOURCE_ALUMINUM,2.556302501
492,14.01,108.97,RESOURCE_ALUMINUM,2
375,15.11,106.44,RESOURCE_ALUMINUM,1.69
323,15.3,74.15,RESOURCE_ALUMINUM,1.698970004
325,15.92,74.53,RESOURCE_ALUMINUM,1.633468456
324,16.69,74.26,RESOURCE_ALUMINUM,1.5
364,17.98,-77.63,RESOURCE_ALUMINUM,2.477121255
285,18.29,82.98,RESOURCE_ALUMINUM,1.86332286
351,18.33,-77.24,RESOURCE_ALUMINUM,2.698970004
